profile,parameter,cgiar.shp.min,cgiar.shp.max,reported
cgiar.shp,NET_offtake_y,0.01,0.05,reported
cgiar.shp,NET_offtake_m,0.02,0.49,missing
cgiar.shp,NET_offtake_f,0.01,0.02,reported
cgiar.shp,mortality_y,0.22,0.24,reported
cgiar.shp,mortality_a,0.06,0.13,reported
cgiar.shp,mortality_end,1,1,NA
cgiar.shp,birth_rate,1.26,1.4,reported
cgiar.shp,ppr_mortality_y,0,0,NA
cgiar.shp,ppr_mortality_a,0,0,NA
cgiar.shp,adu_f_max_yrs,6,6,reported
cgiar.shp,adu_m_max_yrs,5,5,reported
cgiar.shp,min_age_offtake,9,14,missing
cgiar.shp,min_age_repro,12,24,missing
cgiar.shp,NET_offtake_m2,0.47,0.51,reported
cgiar.goat,NET_offtake_y,-0.06,-0.02,reported
cgiar.goat,NET_offtake_m,-0.01,0.51,missing
cgiar.goat,NET_offtake_f,-0.01,-0.08,reported
cgiar.goat,mortality_y,0.16,0.2,reported
cgiar.goat,mortality_a,0.07,0.13,reported
cgiar.goat,mortality_end,1,1,NA
cgiar.goat,birth_rate,1.34,1.52,reported
cgiar.goat,ppr_mortality_y,0,0,NA
cgiar.goat,ppr_mortality_a,0,0,NA
cgiar.goat,adu_f_max_yrs,6,6,reported
cgiar.goat,adu_m_max_yrs,4,4,reported
cgiar.goat,min_age_offtake,9,14,missing
cgiar.goat,min_age_repro,12,24,missing
cgiar.goat,NET_offtake_m2,0.49,0.53,reported
lesnoff.T,NET_offtake_y,0.0029,,
lesnoff.T,NET_offtake_m,0.0098,,
lesnoff.T,NET_offtake_f,0.0098,,
lesnoff.T,mortality_y,0.0094,,
lesnoff.T,mortality_a,0.00315,,
lesnoff.T,mortality_end,1,1,
lesnoff.T,birth_rate,0.036,,
lesnoff.T,ppr_mortality_y,0,0,
lesnoff.T,ppr_mortality_a,0,0,
lesnoff.T,adu_f_max_yrs,7,,
lesnoff.T,adu_m_max_yrs,5,,
lesnoff.T,min_age_offtake,6,,
lesnoff.T,min_age_repro,9,,
lesnoff.T,NET_offtake_m2,0.061,,
oc.goat.aP,NET_offtake_y,0,0,missing
oc.goat.aP,NET_offtake_m,0.27,0.34,missing
oc.goat.aP,NET_offtake_f,0.27,0.34,missing
oc.goat.aP,mortality_y,0.27,0.29,reported
oc.goat.aP,mortality_a,0.13,0.16,reported
oc.goat.aP,mortality_end,1,1,NA
oc.goat.aP,birth_rate,1.2993,1.3875,reported
oc.goat.aP,ppr_mortality_y,0,0,NA
oc.goat.aP,ppr_mortality_a,0,0,NA
oc.goat.aP,adu_f_max_yrs,7,7,default
oc.goat.aP,adu_m_max_yrs,5,5,default
oc.goat.aP,min_age_offtake,9,14,missing
