parameter,lesnoff.T,lesnoff.b,lesnoff.c,lesnoff.c2,lesnoff.d,lesnoff.e,lesnoff.f,lesnoff.g
N_tot,20,20,20,20,20,20,20,20
kid_m_prop,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
kid_f_prop,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
sub_m_prop,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
sub_f_prop,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
adu_m_prop,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
adu_f_prop,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
kid_max,6,6,6,6,6,6,6,6
sub_max,12,12,12,12,12,12,12,12
f_prop,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
m_prop,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
pR,0,0,0,0,0,0,0,0
