parameter,test_1,test_2,test_baobab,test_birth,test_birth_death,
kid_max,4,4,4,4,4,
you_max,6,6,6,6,6,
juv_max,12,12,12,12,12,
sub_max,18,18,18,18,18,
adu_f_max_yrs,5,7,7,10,50,
adu_m_max_yrs,5,5,5,10,50,
kid_f_prop,0.5,0,0.025,0,0.06,
you_f_prop,0,0,0.025,0,0.05,
juv_f_prop,0,0.15,0.1,0,0.08,
sub_f_prop,0,0.15,0.15,0,0.06,
adu_f_prop,0,0.5,0.45,0.5,0.25,0.5
f_prop,0.5,0.8,0.75,0.5,0.5,
kid_m_prop,0.5,0,0.025,0,0.06,
you_m_prop,0,0,0.025,0,0.05,
juv_m_prop,0,0.1,0.1,0,0.08,
sub_m_prop,0,0.05,0.05,0,0.06,
adu_m_prop,0,0.05,0.05,0.5,0.25,
m_prop,0.5,0.2,0.25,0.5,0.5,
pR,0,0,0,0,0,
