"set","prof","mean"
1,"oc.goat.aridP",514.353110589843
2,"oc.goat.aridP",579.834329058388
3,"oc.goat.aridP",511.98214142731
4,"oc.goat.aridP",589.036824607863
5,"oc.goat.aridP",543.761235192733
6,"oc.goat.aridP",547.218583448324
7,"oc.goat.aridP",516.12394618544
8,"oc.goat.aridP",511.47536292332
9,"oc.goat.aridP",502.519189517026
10,"oc.goat.aridP",452.07104459668
11,"oc.goat.aridP",447.958969382001
12,"oc.goat.aridP",500.648565231936
13,"oc.goat.aridP",422.260740350492
14,"oc.goat.aridP",505.63825494638
15,"oc.goat.aridP",505.069051174032
16,"oc.goat.aridP",421.224239726714
17,"oc.goat.aridP",504.100190318576
18,"oc.goat.aridP",568.402412756453
19,"oc.goat.semiaridP",350.648560053436
20,"oc.goat.semiaridP",399.25948331125
21,"oc.goat.semiaridP",492.905629248416
22,"oc.goat.semiaridP",404.848070341209
23,"oc.goat.semiaridP",411.638479526412
24,"oc.goat.semiaridP",403.258876180114
25,"oc.goat.semiaridP",440.306525000726
26,"oc.goat.semiaridP",415.574343365803
27,"oc.goat.semiaridP",488.593297625796
28,"oc.goat.semiaridP",391.147806607464
29,"oc.goat.semiaridP",347.390596991743
30,"oc.goat.semiaridP",523.169725402107
31,"oc.goat.semiaridP",475.45972672693
32,"oc.goat.semiaridP",409.394364554067
33,"oc.goat.semiaridP",329.441971566992
34,"oc.goat.semiaridP",452.132805256947
35,"oc.goat.semiaridP",435.286130378735
36,"oc.goat.semiaridP",355.613474915304
37,"oc.goat.semiaridP",400.665507161128
38,"oc.goat.semiaridP",378.627188343648
39,"oc.goat.semiaridP",410.608446096203
40,"oc.goat.semiaridM",400.944058145034
41,"oc.goat.semiaridM",314.92856252802
42,"oc.goat.semiaridM",400.853292208214
43,"oc.goat.semiaridM",448.9947335772
44,"oc.goat.semiaridM",329.719946223323
45,"oc.goat.semiaridM",286.815255349992
46,"oc.goat.semiaridM",303.067317852729
47,"oc.goat.semiaridM",541.951544674104
48,"oc.goat.semiaridM",399.34700946402
49,"oc.goat.semiaridM",415.003225762969
50,"oc.goat.semiaridM",400.997825525237
51,"oc.goat.semiaridM",379.65306500415
52,"oc.goat.semiaridM",347.718599861922
53,"oc.goat.semiaridM",418.808401700185
54,"oc.goat.semiaridM",409.690424740051
55,"oc.goat.semiaridM",447.31766964062
56,"oc.goat.semiaridM",435.236644286666
57,"oc.goat.semiaridM",479.155093379446
58,"oc.goat.semiaridM",354.310775902927
59,"oc.goat.subhumidM",576.194579428814
60,"oc.goat.subhumidM",528.135127239565
61,"oc.goat.subhumidM",548.536766431232
62,"oc.goat.subhumidM",517.174141173343
63,"oc.goat.subhumidM",595.603379430686
64,"oc.goat.subhumidM",503.686545568927
65,"oc.goat.subhumidM",508.753019839061
66,"oc.goat.subhumidM",629.215297995675
67,"oc.goat.subhumidM",522.811559871399
68,"oc.goat.subhumidM",576.298283980629
69,"oc.goat.subhumidM",433.261537438211
70,"oc.goat.subhumidM",507.986599013676
71,"oc.goat.humidM",533.21647605112
72,"oc.goat.humidM",595.495613771435
73,"oc.goat.humidM",659.068492199697
74,"oc.goat.humidM",594.113454136574
75,"oc.goat.humidM",648.053072596044
76,"oc.goat.humidM",588.904624297644
77,"oc.goat.humidM",651.873713290995
78,"oc.goat.humidM",615.296485332036
79,"oc.shp.aridP",377.943816048142
80,"oc.shp.aridP",371.652832363994
81,"oc.shp.aridP",396.133133648235
82,"oc.shp.aridP",308.015864724704
83,"oc.shp.aridP",445.756698064595
84,"oc.shp.aridP",367.793820878064
85,"oc.shp.aridP",441.899341502624
86,"oc.shp.aridP",474.03031519714
87,"oc.shp.aridP",339.429645360047
88,"oc.shp.aridP",450.540283446445
89,"oc.shp.aridP",408.682026596985
90,"oc.shp.aridP",409.658813842551
91,"oc.shp.aridP",400.303702610865
92,"oc.shp.aridP",420.331216632637
93,"oc.shp.aridP",406.254312736962
94,"oc.shp.aridP",386.411326490564
95,"oc.shp.aridP",458.847041452297
96,"oc.shp.aridP",439.029190424075
97,"oc.shp.aridP",414.537817746691
98,"oc.shp.aridP",395.705773752898
99,"oc.shp.aridP",345.625478585319
100,"oc.shp.aridP",433.437174675368
101,"oc.shp.aridP",489.896674316583
102,"oc.shp.semiaridP",411.722462711891
103,"oc.shp.semiaridP",551.686420975955
104,"oc.shp.semiaridP",379.069381299298
105,"oc.shp.semiaridP",395.734564283616
106,"oc.shp.semiaridP",381.744270931716
107,"oc.shp.semiaridP",418.69251601262
108,"oc.shp.semiaridP",494.70397941657
109,"oc.shp.semiaridP",341.050342776198
110,"oc.shp.semiaridP",393.40550041504
111,"oc.shp.semiaridP",480.921791441678
112,"oc.shp.semiaridP",426.595501743596
113,"oc.shp.semiaridP",353.853118792267
114,"oc.shp.semiaridP",425.296604708973
115,"oc.shp.semiaridP",439.762516297633
116,"oc.shp.semiaridP",484.852057240929
117,"oc.shp.semiaridP",406.403252015011
118,"oc.shp.semiaridP",444.395455112352
119,"oc.shp.semiaridP",345.637739442225
120,"oc.shp.semiaridP",437.852149366762
121,"oc.shp.semiaridP",475.649093483066
122,"oc.shp.semiaridM",429.61131717164
123,"oc.shp.semiaridM",385.258836511264
124,"oc.shp.semiaridM",405.145419820098
125,"oc.shp.semiaridM",501.882182893222
126,"oc.shp.semiaridM",393.559667390302
127,"oc.shp.semiaridM",398.803573995442
128,"oc.shp.semiaridM",324.905755862479
129,"oc.shp.semiaridM",278.39770109009
130,"oc.shp.semiaridM",398.537701441843
131,"oc.shp.semiaridM",306.841988830595
132,"oc.shp.semiaridM",316.58653090999
133,"oc.shp.semiaridM",329.096842154387
134,"oc.shp.semiaridM",413.288756652781
135,"oc.shp.semiaridM",315.61788711646
136,"oc.shp.semiaridM",399.137363971762
137,"oc.shp.semiaridM",325.303451228
138,"oc.shp.semiaridM",403.435179063622
139,"oc.shp.semiaridM",371.269439163349
140,"oc.shp.semiaridM",420.048253305115
141,"oc.shp.semiaridM",473.381149368045
