stat,pV,prof,mean,median_range
imm70_w,0.7,goat.semiaridM,0,0 (0-0)
imm70_w,0.7,shp.semiaridM,0,0 (0-0)
imm70_w,0.7,goat.subhumidM,0,0 (0-0)
imm70_w,0.7,shp.subhumidM,0,0 (0-0)
imm70_w,0.7,goat.humidM,0,0 (0-0)
imm70_w,0.7,shp.humidM,0,0 (0-0)
imm70_w,0.8,goat.semiaridM,1,0 (0-12)
imm70_w,0.8,shp.semiaridM,1,0 (0-12)
imm70_w,0.8,goat.subhumidM,0,0 (0-0)
imm70_w,0.8,shp.subhumidM,1,0 (0-17)
imm70_w,0.8,goat.humidM,0,0 (0-0)
imm70_w,0.8,shp.humidM,0,0 (0-0)
imm70_w,0.9,goat.semiaridM,22,22 (17-29)
imm70_w,0.9,shp.semiaridM,21,21 (14-28)
imm70_w,0.9,goat.subhumidM,16,16 (12-21)
imm70_w,0.9,shp.subhumidM,19,17.5 (11-36)
imm70_w,0.9,goat.humidM,13,14 (4-18)
imm70_w,0.9,shp.humidM,16,16 (8-25)
imm70_w,1,goat.semiaridM,34,33 (26-42)
imm70_w,1,shp.semiaridM,32,32 (22-42)
imm70_w,1,goat.subhumidM,25,25 (20-32)
imm70_w,1,shp.subhumidM,28,27 (19-52)
imm70_w,1,goat.humidM,22,22 (17-28)
imm70_w,1,shp.humidM,26,25 (18-37)
imm70_wAll,0.7,goat.semiaridM,14,13 (6-20)
imm70_wAll,0.7,shp.semiaridM,12,12 (2-21)
imm70_wAll,0.7,goat.subhumidM,4,4 (0-12)
imm70_wAll,0.7,shp.subhumidM,8,7 (0-36)
imm70_wAll,0.7,goat.humidM,1,0 (0-7)
imm70_wAll,0.7,shp.humidM,5,4 (0-16)
imm70_wAll,0.8,goat.semiaridM,31,29 (16-57)
imm70_wAll,0.8,shp.semiaridM,27,26 (13-58)
imm70_wAll,0.8,goat.subhumidM,15,15 (10-23)
imm70_wAll,0.8,shp.subhumidM,22,17 (9-90)
imm70_wAll,0.8,goat.humidM,11,12 (5-17)
imm70_wAll,0.8,shp.humidM,16,15 (7-35)
imm70_wAll,0.9,goat.semiaridM,74,73 (49-103)
imm70_wAll,0.9,shp.semiaridM,68,67 (39-103)
imm70_wAll,0.9,goat.subhumidM,44,44.5 (30-63)
imm70_wAll,0.9,shp.subhumidM,56,49.5 (27-141)
imm70_wAll,0.9,goat.humidM,34,34.5 (17-51)
imm70_wAll,0.9,shp.humidM,46,43 (22-85)
imm70_wAll,1,goat.semiaridM,106,105 (79-138)
imm70_wAll,1,shp.semiaridM,99,99 (65-137)
imm70_wAll,1,goat.subhumidM,72,71.5 (53-98)
imm70_wAll,1,shp.subhumidM,85,79 (48-177)
imm70_wAll,1,goat.humidM,58,57.5 (39-81)
imm70_wAll,1,shp.humidM,74,71 (44-118)
